"RecordType","DateReceived","FileName","FileValue","CountTotal","DCACode"
"NewPlacementsFile","26/06/2018","Lucania_NewPlacementFile_20180626_48707.csv","1486.46","50","Lucania"
"GroveAccountReference","PrimaryAccountReference","SecondaryAccountReference","Currency Code","GroveAccountId","ClientBalance","ClientBalanceDate","GroveBookName","CountryOfOrigin","AssignmentId","AssignmentTypeCode","TotalAmountAssigned","SegmentName","LastPaymentAmount","LastPaymentDate","NumberOfPaymentsInColls","ValueOfPaymentsInColls","PaymentMethod","DefaultDate","DefaultAmount","TerminationReason","CoreDebtAmount","ChargesToDate","InterestToDate","PrimaryProductNumber","PrimaryProductDescription","PrimaryProductValue","PrimaryProductOpenDate","PrimaryProductCloseDate","AssociatedProduct1 AccountNumber","AssociatedProduct1 Description","AssociatedProduct1Value","AssociatedProduct1OpenDate","AssociatedProduct1CloseDate","AssociatedProduct2AccountNumber","AssociatedProduct2Description","AssociatedProduct2Value","AssociatedProduct2OpenDate","AssociatedProduct2CloseDate","AssociatedProduct3 AccountNumber","AssociatedProduct3 Description","AssociatedProduct3Value","AssociatedProduct3OpenDate","AssociatedProduct3CloseDate","GrovePropensityScore","LitigationStatus","ContractAvailable","Region","Originator","Participants","BankAccountNumber","SpareField1","SpareField2","SpareField3","SpareField4","SpareField5","SpareField6","SpareField7","SpareField8","SpareField9","SpareField10"
"TTI-608864302","292152801","","EUR","32684684","31.80","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","31.80","","","","Telecom","","2005-04-23","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-609015565","380492781","","EUR","32743002","21.97","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","124.90","29/10/2014","1","124.90","","","","","21.97","","","","Telecom","","2008-02-25","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-609124946","444238632","","EUR","32767175","26.75","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","40.80","11/08/2014","1","40.80","","","","","26.75","","","","Telecom","","2008-04-15","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-609260021","527964121","","EUR","32853695","31.77","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","31.77","","","","Telecom","","2008-06-11","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-609362884","58264202","","EUR","32927547","30.05","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","171.00","12/06/2015","1","171.00","","","","","30.05","","","","Telecom","","2008-05-07","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-609449350","625580121","","EUR","32944987","0.08","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","215.50","31/10/2017","2","431.00","","","","","0.08","","","","Telecom","","2003-12-02","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-609551734","664483881","","EUR","32990263","30.24","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","30.24","","","","Telecom","","2007-04-16","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-609563051","682320711","","EUR","32994915","30.03","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","30.03","","","","Telecom","","2008-03-07","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-609921515","857916331","","EUR","33071767","30.38","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","30.38","","","","Telecom","","2004-10-20","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-610020489","926227341","","EUR","34402701","31.29","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","31.29","","","","Telecom","","2005-02-04","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-610053951","942498623","","EUR","34412243","30.76","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","30.76","","","","Telecom","","2006-01-31","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-610119281","97001705","","EUR","34435848","30.74","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","30.74","","","","Telecom","","2008-07-30","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
